Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Owner,Regarding,Start Date,Due Date year,Due Date month,Due Date day,Due Date hour,Due Date min,Due Date second,Start Date year,Start Date month,Start Date day,Start Date hour,Start Date min,Start Date second
Pain admitted by sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,0 minutes,First name Last name,Jose Curry,Interested in Mountain Bikes; 14 of the new model.,,0,-1,12,12,0,0,0,-1,12,12,0,0
Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Jose Curry,Interested in Mountain Bikes; 14 of the new model.,,0,-3,10,12,0,0,0,-3,10,12,0,0
Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor agrees to conduct internal selling within the organization,,0 minutes,First name Last name,Jose Curry,Interested in Mountain Bikes; 14 of the new model.,,0,-2,1,12,0,0,0,-2,1,12,0,0
Access to power negotiated,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,0 minutes,First name Last name,Jose Curry,Interested in Mountain Bikes; 14 of the new model.,,0,2,0,12,0,0,0,2,0,12,0,0
Agree to above in Sponsor letter,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,0 minutes,First name Last name,Jose Curry,Interested in Mountain Bikes; 14 of the new model.,,0,2,1,12,0,0,0,2,1,12,0,0
Pain admitted by sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,0 minutes,First name Last name,Jose Curry,Follow-up with Oscar regarding Mountain bikes,,0,-1,1,12,0,0,0,-1,1,12,0,0
Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Jose Curry,Follow-up with Oscar regarding Mountain bikes,,0,-1,11,12,0,0,0,-1,11,12,0,0
Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor agrees to conduct internal selling within the organization,,0 minutes,First name Last name,Jose Curry,Follow-up with Oscar regarding Mountain bikes,,0,-1,15,12,0,0,0,-1,15,12,0,0
Access to power negotiated,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,0 minutes,First name Last name,Jose Curry,Follow-up with Oscar regarding Mountain bikes,,0,-1,29,12,0,0,0,-1,29,12,0,0
Agree to above in Sponsor letter,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,0 minutes,First name Last name,Jose Curry,Follow-up with Oscar regarding Mountain bikes,,0,-1,23,12,0,0,0,-1,23,12,0,0
Pain admitted by sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,0 minutes,First name Last name,Jose Curry,May expand from BMX into mountain bikes.,,0,2,0,12,0,0,0,2,0,12,0,0
Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Jose Curry,May expand from BMX into mountain bikes.,,0,2,5,12,0,0,0,2,5,12,0,0
Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor agrees to conduct internal selling within the organization,,0 minutes,First name Last name,Jose Curry,May expand from BMX into mountain bikes.,,0,2,0,12,0,0,0,2,0,12,0,0
Access to power negotiated,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,0 minutes,First name Last name,Jose Curry,May expand from BMX into mountain bikes.,,0,2,0,12,0,0,0,2,0,12,0,0
Agree to above in Sponsor letter,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,0 minutes,First name Last name,Jose Curry,May expand from BMX into mountain bikes.,,0,2,4,12,0,0,0,2,4,12,0,0
Pain admitted by sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 47 of the new model Mountain-400 and Mountain-400-W.,,0,1,12,12,0,0,0,1,12,12,0,0
Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 47 of the new model Mountain-400 and Mountain-400-W.,,0,1,11,12,0,0,0,1,11,12,0,0
Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor agrees to conduct internal selling within the organization,,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 47 of the new model Mountain-400 and Mountain-400-W.,,0,4,9,12,0,0,0,4,9,12,0,0
Access to power negotiated,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 47 of the new model Mountain-400 and Mountain-400-W.,,0,11,21,12,0,0,0,11,21,12,0,0
Agree to above in Sponsor letter,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 47 of the new model Mountain-400 and Mountain-400-W.,,0,11,20,12,0,0,0,11,20,12,0,0
Pain admitted by sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 45 of the new model.,,0,9,26,12,0,0,0,9,26,12,0,0
Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 45 of the new model.,,0,8,26,12,0,0,0,8,26,12,0,0
Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor agrees to conduct internal selling within the organization,,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 45 of the new model.,,0,-2,14,12,0,0,0,-2,14,12,0,0
Access to power negotiated,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 45 of the new model.,,0,-1,1,12,0,0,0,-1,1,12,0,0
Agree to above in Sponsor letter,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 45 of the new model.,,0,-1,1,12,0,0,0,-1,1,12,0,0
Pain admitted by sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,0 minutes,First name Last name,Alan Jackson,Looks good for 50 Touring bikes; they want our caps as a give-away promotion.,,0,-2,1,12,0,0,0,-2,1,12,0,0
Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Alan Jackson,Looks good for 50 Touring bikes; they want our caps as a give-away promotion.,,0,-1,3,12,0,0,0,-1,3,12,0,0
Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor agrees to conduct internal selling within the organization,,0 minutes,First name Last name,Alan Jackson,Looks good for 50 Touring bikes; they want our caps as a give-away promotion.,,0,-1,1,12,0,0,0,-1,1,12,0,0
Access to power negotiated,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,0 minutes,First name Last name,Alan Jackson,Looks good for 50 Touring bikes; they want our caps as a give-away promotion.,,0,-1,14,12,0,0,0,-1,14,12,0,0
Agree to above in Sponsor letter,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,0 minutes,First name Last name,Alan Jackson,Looks good for 50 Touring bikes; they want our caps as a give-away promotion.,,0,-1,17,12,0,0,0,-1,17,12,0,0
Pain admitted by sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,0 minutes,First name Last name,Alan Jackson,10 Bike order - probably road and touring.,,0,-3,9,12,0,0,0,-3,9,12,0,0
Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Alan Jackson,10 Bike order - probably road and touring.,,0,-1,17,12,0,0,0,-1,17,12,0,0
Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor agrees to conduct internal selling within the organization,,0 minutes,First name Last name,Alan Jackson,10 Bike order - probably road and touring.,,0,-1,1,12,0,0,0,-1,1,12,0,0
Access to power negotiated,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,0 minutes,First name Last name,Alan Jackson,10 Bike order - probably road and touring.,,0,-1,3,12,0,0,0,-1,3,12,0,0
Agree to above in Sponsor letter,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,0 minutes,First name Last name,Alan Jackson,10 Bike order - probably road and touring.,,0,-2,7,12,0,0,0,-2,7,12,0,0
Pain admitted by sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,0 minutes,First name Last name,Alan Jackson,"Will order socks, jerseys and gloves soon. Likes the Touring-2000 model",,0,-2,1,12,0,0,0,-2,1,12,0,0
Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Alan Jackson,"Will order socks, jerseys and gloves soon. Likes the Touring-2000 model",,0,5,22,12,0,0,0,5,22,12,0,0
Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor agrees to conduct internal selling within the organization,,0 minutes,First name Last name,Alan Jackson,"Will order socks, jerseys and gloves soon. Likes the Touring-2000 model",,0,2,0,12,0,0,0,2,0,12,0,0
Access to power negotiated,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,0 minutes,First name Last name,Alan Jackson,"Will order socks, jerseys and gloves soon. Likes the Touring-2000 model",,0,2,14,12,0,0,0,2,14,12,0,0
Agree to above in Sponsor letter,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,0 minutes,First name Last name,Alan Jackson,"Will order socks, jerseys and gloves soon. Likes the Touring-2000 model",,-1,-1,4,12,0,0,-1,-1,4,12,0,0
Pain admitted by sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define and capture critical business issue for contact and organization. Requires access to Reference Stories and Pain Sheets in the Sales Library.,,0 minutes,First name Last name,Alan Jackson,Very likely will order 73 Road bikes this year.,,0,3,1,12,0,0,0,3,1,12,0,0
Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Alan Jackson,Very likely will order 73 Road bikes this year.,,0,-1,1,12,0,0,0,-1,1,12,0,0
Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor agrees to conduct internal selling within the organization,,0 minutes,First name Last name,Alan Jackson,Very likely will order 73 Road bikes this year.,,0,-1,1,12,0,0,0,-1,1,12,0,0
Access to power negotiated,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Sponsor conditionally agrees to provide access to power. Capture preliminary power information.,,0 minutes,First name Last name,Alan Jackson,Very likely will order 73 Road bikes this year.,,0,0,-20,12,0,0,0,0,-20,12,0,0
Evaluation plan underway,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Execute steps in Evaluation Plan and manage go/no go steps. Make sure all legal, technical, and accounting hurdles have been approved. Prepare Value Justification and Success criteria, Generate letter or e-mail using ""Go/No Go"" Completion Step template.",,0 minutes,First name Last name,Jose Curry,69 Lower level touring bikes - followup,,0,-1,8,12,0,0,0,-1,8,12,0,0
Contract negotiation in process,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Agree to final terms of contract.,,0 minutes,First name Last name,Jose Curry,"Will expand their accessories to include water bottles, caps, lights, and locks.",,0,-2,11,12,0,0,0,-2,11,12,0,0
Agree to above in Sponsor letter,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Document critical business issue, buying vision and access to power in a letter or e-mail. Generate letter or e-mail using Potential Sponsor template.",,0 minutes,First name Last name,Alan Jackson,Very likely will order 73 Road bikes this year.,,0,-3,11,12,0,0,0,-3,11,12,0,0
Contract negotiation in process,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Agree to final terms of contract.,,0 minutes,First name Last name,Jose Curry,Interested in Mountain Bikes; 14 of the new model.,,0,-1,4,12,0,0,0,-1,4,12,0,0
Pre-proposal review conducted,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Review proposal draft content with key power players on buying committee, capture attendee list.",,0 minutes,First name Last name,Jose Curry,69 Lower level touring bikes - followup,,0,-1,4,12,0,0,0,-1,4,12,0,0
Signed documents,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Get final signed documents and PO, attach contract to Opportunity.",,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 45 of the new model.,,0,-1,8,12,0,0,0,-1,8,12,0,0
Signed documents,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Get final signed documents and PO, attach contract to Opportunity.",,0 minutes,First name Last name,Jose Curry,Follow-up with Oscar regarding Mountain bikes,,0,-1,12,12,0,0,0,-1,12,12,0,0
Access to Power Sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Talk to the power sponsor, capture contact information and relationship to sponsor.",,0 minutes,First name Last name,Jose Curry,May expand from BMX into mountain bikes.,,0,-1,24,12,0,0,0,-1,24,12,0,0
Asked for business,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Identify and capture remaining issues, if any.",,0 minutes,First name Last name,Jose Curry,69 Lower level touring bikes - followup,,0,-1,14,10,0,0,0,-1,14,10,0,0
Access to Power Sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Talk to the power sponsor, capture contact information and relationship to sponsor.",,0 minutes,First name Last name,Alan Jackson,Looks good for 50 Touring bikes; they want our caps as a give-away promotion.,,0,2,5,12,0,0,0,2,5,12,0,0
Pain admitted by Power Sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define Power Sponsor critical business issue. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Jose Curry,May expand from BMX into mountain bikes.,,0,2,0,12,0,0,0,2,0,12,0,0
Signed documents,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Get final signed documents and PO, attach contract to Opportunity.",,0 minutes,First name Last name,Alan Jackson,10 Bike order - probably road and touring.,,0,2,4,12,0,0,0,2,4,12,0,0
"Proposal Issue, Decision Due",Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Provide proposal and attach to Opportunity.,,0 minutes,First name Last name,Jose Curry,69 Lower level touring bikes - followup,,0,1,12,12,0,0,0,1,12,12,0,0
Evaluation plan underway,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Execute steps in Evaluation Plan and manage go/no go steps. Make sure all legal, technical, and accounting hurdles have been approved. Prepare Value Justification and Success criteria, Generate letter or e-mail using ""Go/No Go"" Completion Step template.",,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 47 of the new model Mountain-400 and Mountain-400-W.,,0,1,11,12,0,0,0,1,11,12,0,0
Verbal approval received,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Verbal approval received.,,0 minutes,First name Last name,Jose Curry,69 Lower level touring bikes - followup,,0,4,9,12,0,0,0,4,9,12,0,0
Pain admitted by Power Sponsor,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Define Power Sponsor critical business issue. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Alan Jackson,Looks good for 50 Touring bikes; they want our caps as a give-away promotion.,,0,-1,3,12,0,0,0,-1,3,12,0,0
Power Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Jose Curry,May expand from BMX into mountain bikes.,,0,-2,7,12,0,0,0,-2,7,12,0,0
Pre-proposal review conducted,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Review proposal draft content with key power players on buying committee, capture attendee list.",,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 47 of the new model Mountain-400 and Mountain-400-W.,,0,-2,1,12,0,0,0,-2,1,12,0,0
Power Sponsor has a buying vision,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Diagnose and create a vision of a company-biased solution. Requires access to Reference Stories and pain Sheets in the Sales Library.,,0 minutes,First name Last name,Alan Jackson,Looks good for 50 Touring bikes; they want our caps as a give-away promotion.,,0,-1,6,12,0,0,0,-1,6,12,0,0
Power Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Power Sponsor agrees to continue dialog on your solution.,,0 minutes,First name Last name,Jose Curry,May expand from BMX into mountain bikes.,,0,-1,15,12,0,0,0,-1,15,12,0,0
Asked for business,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Identify and capture remaining issues, if any.",,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 47 of the new model Mountain-400 and Mountain-400-W.,,0,-2,6,12,0,0,0,-2,6,12,0,0
Evaluation Plan proposed,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Document steps that will lead to a buying decision based on customer requirements. Generate letter or e-mail using Potential Power Sponsor template.,,0 minutes,First name Last name,Jose Curry,May expand from BMX into mountain bikes.,,0,-1,4,7,0,0,0,-1,4,7,0,0
Power Sponsor agrees to explore,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Power Sponsor agrees to continue dialog on your solution.,,0 minutes,First name Last name,Alan Jackson,Looks good for 50 Touring bikes; they want our caps as a give-away promotion.,,0,-2,-24,12,0,0,0,-2,-24,12,0,0
"Proposal Issue, Decision Due",Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Provide proposal and attach to Opportunity.,,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 47 of the new model Mountain-400 and Mountain-400-W.,,0,1,-10,12,0,0,0,1,-10,12,0,0
Evaluation Plan agreed upon,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Confirm that Power Sponsor agrees to the steps that will lead to a buying decision. Attach revised Evaluation Plan to opportunity, create activities that match up to the Evaluation Plan.",,0 minutes,First name Last name,Jose Curry,May expand from BMX into mountain bikes.,,0,-2,6,12,0,0,0,-2,6,12,0,0
Evaluation Plan proposed,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Document steps that will lead to a buying decision based on customer requirements. Generate letter or e-mail using Potential Power Sponsor template.,,0 minutes,First name Last name,Alan Jackson,Looks good for 50 Touring bikes; they want our caps as a give-away promotion.,,-1,6,30,12,0,0,-1,6,30,12,0,0
Verbal approval received,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Verbal approval received.,,0 minutes,First name Last name,Gail Erickson,Interested in Mountain Bikes; 47 of the new model Mountain-400 and Mountain-400-W.,,0,-1,30,12,0,0,0,-1,30,12,0,0
Evaluation Plan agreed upon,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Confirm that Power Sponsor agrees to the steps that will lead to a buying decision. Attach revised Evaluation Plan to opportunity, create activities that match up to the Evaluation Plan.",,0 minutes,First name Last name,Alan Jackson,Looks good for 50 Touring bikes; they want our caps as a give-away promotion.,,0,-2,25,12,0,0,0,-2,25,12,0,0
Evaluation plan underway,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Execute steps in Evaluation Plan and manage go/no go steps. Make sure all legal, technical, and accounting hurdles have been approved. Prepare Value Justification and Success criteria, Generate letter or e-mail using ""Go/No Go"" Completion Step template.",,0 minutes,First name Last name,Alan Jackson,Very likely will order 73 Road bikes this year.,,0,1,-8,12,0,0,0,1,-8,12,0,0
Pre-proposal review conducted,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Review proposal draft content with key power players on buying committee, capture attendee list.",,0 minutes,First name Last name,Alan Jackson,Very likely will order 73 Road bikes this year.,,0,-2,15,12,0,0,0,-2,15,12,0,0
Asked for business,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Identify and capture remaining issues, if any.",,0 minutes,First name Last name,Alan Jackson,Very likely will order 73 Road bikes this year.,,0,-2,12,12,0,0,0,-2,12,12,0,0
"Proposal Issue, Decision Due",Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Provide proposal and attach to Opportunity.,,0 minutes,First name Last name,Alan Jackson,Very likely will order 73 Road bikes this year.,,0,-4,10,12,0,0,0,-4,10,12,0,0
Verbal approval received,Task,Open,Normal,6/26/2007,,,,First name Last name,6/26/2007,Verbal approval received.,,0 minutes,First name Last name,Alan Jackson,Very likely will order 73 Road bikes this year.,,0,-3,1,12,0,0,0,-3,1,12,0,0
Check sales literature for recent price list,Task,Completed,Normal,6/26/2007,,,,First name Last name,6/26/2007,"Road 350, all models",,0 minutes,First name Last name,Roger Van Houten,,,0,3,0,12,0,0,0,3,0,12,0,0
Go to factory - get new clipless pedals,Task,Open,Low,6/26/2007,,,,First name Last name,6/26/2007,They've got some slightly damaged parts,,0 minutes,First name Last name,Roger Van Houten,,,0,3,1,12,0,0,0,3,1,12,0,0
Interested in 45 Mountain Bikes,Task,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,Interested in 45 Mountain Bikes,,0 minutes,First name Last name,Gail Erickson,Marian Berch,,0,-2,1,12,0,0,0,-2,1,12,0,0
Performance Evaluation Reminder,Task,Open,High,6/26/2007,,,,First name Last name,6/26/2007,Send email to all staff to complete their review of their performance,,0 minutes,First name Last name,Gail Erickson,,,0,-2,11,12,0,0,0,-2,11,12,0,0
