Subject,Activity Type,Activity Status,Priority,Last Updated,Actual Duration,Actual End,Actual Start,Created By,Date Created,Description,Due Date,Duration,Modified By,Owner,Regarding,Start Date,Due Date Year,Due Date Month,Due Date Day,Due Date Hour,Due Date Minute,Due Date Second,Start Date Year,Start Date Month,Start Date Day,Start Date Hour,Start Date Minute,Start Date Second
size of the bottom bracket for a customer's 2001 Touring-1000,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Roger Van Houten,Bottom bracket size for 2001 Touring-1000,,0,1,27,12,0,0,0,1,27,12,0,0
guidelines for the warranty process for a defective frame replacement,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Roger Van Houten,Item number for a new HL Mountain frame for warranty,,0,1,27,12,0,0,0,1,27,12,0,0
Gave the email address to an interested customer to send his resume to.,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Roger Van Houten,Rider Resume,,0,-1,8,15,0,0,0,-1,8,15,0,0
Bike Universe quote for 35 model 250's,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Alan Jackson,Model 250 road bike quote,,0,0,-8,12,0,0,0,0,-8,12,0,0
frame sizes of the mountain bikes,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Roger Van Houten,Current frame sizes for mountain bikes?,,0,0,-9,10,0,0,0,0,-9,10,0,0
weights of all of our road bike model,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Roger Van Houten,Bike weights for road bike comparison,,0,-3,18,10,0,0,0,-3,18,10,0,0
Discuss aboutcompetition gel saddle.,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Roger Van Houten,Gel saddle?,,0,-1,1,12,0,0,0,-1,1,12,0,0
"Margie's Travel quote for 12 red bike frames, ML-Road-Frame",Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Alan Jackson,red frame quote,,0,-1,1,10,0,0,0,-1,1,10,0,0
available colors for all of our bikes for the 2003 model,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Roger Van Houten,Colors for model year 2003,,0,-1,10,8,0,0,0,-1,10,8,0,0
availability of Product catalogs,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Ryan Williams,,,-1,8,10,8,0,0,-1,8,10,8,0,0
Fun toys and bikes quote for 10 Mountain-100 bikes,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Alan Jackson,Mountain-100 quote,,0,-1,10,8,0,0,0,-1,10,8,0,0
Discuss high level road bikes,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Ben Burton,2 MBTs damaged during shipment,,0,-1,15,8,0,0,0,-1,15,8,0,0
Main shaft too tight,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Ben Burton,Main shaft too tight,,0,-1,12,12,0,0,0,-1,12,12,0,0
Discuss aboutcompetition gel saddle.,Phone Call,Completed,High,6/26/2007,,,,First name Last name,6/26/2007,,,,First name Last name,Connie Watson,,,0,-1,8,12,0,0,0,-1,8,12,0,0
