Name,Company Name,Business Phone,Address 1: Address Type,Address 1: County,Address 1: Fax,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Shipping Method,Address 1: Telephone 1,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Annual Revenue,City,Country/Region,Created By,Created On,Customer,Description,Do not allow Bulk E-mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Est. Close Date,Est. Value,Fax,First Name,Home Phone,Industry,Job Title,Last Date Included in Campaign,Last Name,Lead Source,Middle Name,Mobile Phone,Modified By,Modified On,No. of Employees,Other Phone,Owner,Pager,Preferred Method of Contact,Priority,Rating,Sales Stage,Salutation,Send Marketing Materials,SIC Code,Source Campaign,State/Province,Status,Status Reason,Street 1,Street 2,Street 3,Topic,Web Site,Yomi First Name,Yomi Full Name,Yomi Last Name,Yomi Middle Name,ZIP/Postal Code,Est. Close Date Year,Est. Close Date Month,Est. Close Date Day,Est. Close Date Hour,Est. Close Date Minute,Est. Close Date Second
Steven Betsekas,Golf and Cycle Store,,Default Value,,,,,,,,555-0145,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Tacoma,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"96,000.00",,Steven,,Entertainment Retail,Purchasing Assistant,,Betsekas,Other,B.,,First name Last name,6/26/2007 11:50,86,,Gail Erickson,,Phone,,Hot,,Mr.,Yes,,,WA,Disqualified,Lost,8901 Pacific Road NW,,,Mailed an interest card back for road bikes,,,,,,20979,1,3,13,21,42,45
Stephanie Conroy,Superlative Bikes,,Default Value,,,,,,,,555-0165,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Cerritos,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"51,000.00",,Stephanie,,Entertainment Retail,Purchasing Manager,,Conroy,Web,,,First name Last name,6/26/2007 11:50,30,,Patricia San Juan,,E-mail,,Warm,,Ms.,Yes,,,CA,Open,New,12345 85th South St.,,,They have an on-line store only for mountain bikes,,,,,,20205,1,3,13,21,42,45
Sidney Higa,Fitness Sport Boutique,,Default Value,,,,,,,,555-0156,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Miami,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Do Not Allow,Allow,someone@example.com,,,,"18,000.00",,Sidney,,Entertainment Retail,Owner,,Higa,Other,,,First name Last name,6/26/2007 11:50,18,,Patricia San Juan,,Any,,Cold,,Mr.,Yes,,,FL,Open,New,12321 NE Granite ROad,l,,Good prospect for frames,,,,,,53389,1,3,13,21,42,45
Shawn Demicell,Rally Day Mall,,Default Value,,,,,,,,555-0139,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Bell Gardens,U.S.,First name Last name,6/26/2007 11:50,,184 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"3,600.00",,Shawn,,Entertainment Retail,Purchasing Assistant,,Demicell,Advertisement,R.,,First name Last name,6/26/2007 11:50,92,,Patricia San Juan,,Mail,,Hot,,Mr.,Yes,,,CA,Open,New,132 Polk Avenue,,,Will be ordering about 184 bikes this year.,,,,,,20155,0,10,29,21,42,45
Sharon Crow,Grand Cycle Store,,Default Value,,,,,,,,555-0164,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",HoU.S.ton,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Do Not Allow,Allow,someone@example.com,,,,"44,000.00",,Sharon,,Entertainment Retail,Purchasing Manager,,Crow,Other,A.,,First name Last name,6/26/2007 11:50,43,,Jose Curry,,Any,,Warm,,Ms.,Yes,,,TX,Qualified,Qualified,FOOTHILLS MALL,,,mountain bikes - maybe 50,,,,,,58047,0,10,29,21,42,45
Selena Alvarado,Tiny Bike Boutique,,Default Value,,,,,,,,555-0136,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Santa Ana,U.S.,First name Last name,6/26/2007 11:50,,8 bikes this year.,,Allow,Allow,Do Not Allow,Allow,someone@example.com,,,,"1,200.00",,Selena,,Entertainment Retail,Owner,,Alvarado,Advertisement,R.,,First name Last name,6/26/2007 11:50,4,,Patricia San Juan,,Fax,,Hot,,Ms.,Yes,,,CA,Open,New,2 West Maple Dr.,,,Will be ordering about 8 bikes this year.,,,,,,20405,0,11,29,21,42,45
Scott MacDonald,Yellow Bicycle Company,,Default Value,,,,,,,,555-0142,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000.00 ",Clearwater,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"36,000.00",,Scott,,Entertainment Retail,Purchasing Manager,,MacDonald,Other,,,First name Last name,6/26/2007 11:50,29,,Alan Jackson,,Any,,Cold,,Mr.,Yes,,,FL,Open,New,8907 Thirtieth ST.,,,Good prospect for frames,,,,,,54871,0,11,29,21,42,45
Scott Konersmann,Specialty Sports Store,,Default Value,,,,,,,,555-0133,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Dallas,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"18,000.00",,Scott,,Entertainment Retail,Owner,,Konersmann,Other,,,First name Last name,6/26/2007 11:50,16,,Jose Curry,,E-mail,,Cold,,Mr.,Yes,,,TX,Qualified,Qualified,45678 78th Street,,,32 mountain bikes.,,,,,,95486,1,2,14,21,42,45
Scott Konersmann,Specialty Sports Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"$100,000.00 ",,,First name Last name,6/26/2007 11:50,,Saw the demo at the bicycle convention last week,,Allow,Allow,Allow,Allow,someone@example.com,,,,"30,000.00",,Scott,,Vehicle Retail,Purchasing Manager,,Konersmann,Other,,,First name Last name,6/26/2007 11:50,20,,Jose Curry,,E-mail,,Hot,,Mr.,Yes,,,,Open,New,,,,Interested in the new Mountain 500 model.,,,,,,,1,1,22,21,42,45
Scott Gode,Year-round Sports,,Default Value,,,,,,,,555-0170,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Kendall,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"34,500.00",,Scott,,Entertainment Retail,Purchasing Assistant,,Gode,Employee Referral,,,First name Last name,6/26/2007 11:50,66,,Gail Erickson,,Mail,,Warm,,Mr.,Yes,,,FL,Qualified,Qualified,789 S.W. 25th Ave.,,,100 Lower level touring bikes,,,,,,53502,0,10,29,21,42,45
Scott Cooper,Vehicle Shop,,Default Value,,,,,,,,555-0118,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Phoenix,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"51,000.00",,Scott,,Entertainment Retail,Purchasing Manager,,Cooper,Web,,,First name Last name,6/26/2007 11:50,44,,Gail Erickson,,Any,,Warm,,Mr.,Yes,,,AZ,Open,New,45 Main Ave.,,,They have an on-line store only for mountain bikes,,,,,,95158,1,3,13,21,42,45
Scott Colvin,Westside Cycle Store,,Default Value,,,,,,,,555-0195,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Issaquah,U.S.,First name Last name,6/26/2007 11:50,,20 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"2,400.00",,Scott,,Entertainment Retail,Purchasing Manager,,Colvin,Advertisement,A.,,First name Last name,6/26/2007 11:50,10,,Jose Curry,,Phone,,Hot,,Mr.,Yes,,,WA,Open,New,789 West 5th St.,,,Will be ordering about 20 bikes this year.,,,,,,20938,1,1,12,21,42,45
Scott Bishop,Global Sporting Goods,,Default Value,,,,,,,,555-0129,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Renton,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"64,000.00",,Scott,,Entertainment Retail,Purchasing Manager,,Bishop,Other,,,First name Last name,6/26/2007 11:50,39,,Alan Jackson,,E-mail,,Hot,,Mr.,Yes,,,WA,Disqualified,Lost,5400 John St.,,,Mailed an interest card back for road bikes,,,,,,20938,0,8,14,21,42,45
Sara Breer,Modern Bike Store,,Default Value,,,,,,,,555-0107,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",HoU.S.ton,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"18,000.00",,Sara,,Entertainment Retail,Owner,,Breer,Other,N.,,First name Last name,6/26/2007 11:50,15,,Patricia San Juan,,E-mail,,Cold,,Ms.,Yes,,,TX,Open,New,123 Modern Hill Rd.,,,Good prospect for frames,,,,,,97300,1,-1,12,21,42,45
Sandra Maynard,Bike Dealers Association,,Default Value,,,,,,,,555-0119,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Tacoma,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"34,500.00",,Sandra,,Entertainment Retail,Purchasing Assistant,,Maynard,Employee Referral,B.,,First name Last name,6/26/2007 11:50,40,,Jose Curry,,Mail,,Warm,,Ms.,Yes,,,WA,Open,New,321 77th Highway West,,,50 mountain bikes,,,,,,20979,1,1,13,21,42,45
Sandeep Kaliyath,Weekend Bike Tours,,Default Value,,,,,,,,555-0178,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Woodinville,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"25,500.00",,Sandeep,,Entertainment Retail,Owner,,Kaliyath,Web,,,First name Last name,6/26/2007 11:50,4,,Gail Erickson,,E-mail,,Warm,,Mr.,Yes,,,WA,Open,New,5678 Gold Ave,,,They have an on-line store only for mountain bikes,,,,,,20942,0,8,14,21,42,45
Sabria Appelbaum,Distinctive Cycles Sales and Service,,Default Value,,,,,,,,555-0154,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Fremont,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"66,000.00",,Sabria,,Entertainment Retail,Purchasing Assistant,,Appelbaum,Other,B.,,First name Last name,6/26/2007 11:50,79,,Patricia San Juan,,Any,,Warm,,Ms.,Yes,,,CA,Open,New,4567 Tamarack Road,Ste. 100,,New store opened this year - follow up,,,,,,10466,0,8,29,21,42,45
Ruth Suffin,Bike Experts,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Santa Monica,U.S.,First name Last name,6/26/2007 11:50,,Found us on the web,,Allow,Allow,Allow,Allow,someone@example.com,,,,"76,500.00",,Ruth,,Entertainment Retail,Purchasing Assistant,,Suffin,Web,J.,,First name Last name,6/26/2007 11:50,82,,Gail Erickson,,Mail,,Warm,,Ms.,Yes,,,CA,Open,New,456 Eighth Blvd.,,,They have an on-line store only for mountain bikes,,,,,,20175,0,9,29,21,42,45
Ruth Choin,Genuine Bike Shop,,Default Value,,,,,,,,555-0152,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Chicago,U.S.,First name Last name,6/26/2007 11:50,,190 bikes this year.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"3,600.00",,Ruth,,Entertainment Retail,Purchasing Assistant,,Choin,Advertisement,A.,,First name Last name,6/26/2007 11:50,95,,Jose Curry,,Mail,,Hot,,Ms.,Yes,,,IL,Open,New,68 S. Adams Way,,,Will be ordering about 190 bikes this year.,,,,,,70726,1,-1,12,21,42,45
Russell King,Daring Rides,,Default Value,,,,,,,,555-0147,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Phoenix,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"18,000.00",,Russell,,Entertainment Retail,Owner,,King,Other,,,First name Last name,6/26/2007 11:50,5,,Patricia San Juan,,E-mail,,Cold,,Mr.,Yes,,,AZ,Open,New,12345 10th Ave SW,,,Good prospect for frames,,,,,,55332,0,8,14,21,42,45
Ronald Adina,New Bikes Company,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Campbellsville,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"54,000.00",,Ronald,,Entertainment Retail,Purchasing Assistant,,Adina,Other,L.,,First name Last name,6/26/2007 11:50,40,,Patricia San Juan,,Any,,Cold,,Mr.,Yes,,,KY,Disqualified,Lost,7890 S. Columbia Ave,,,Good prospect for frames,,,,,,62964,0,8,29,21,42,45
Robert Stotka,Gift and Toy Store,,Default Value,,,,,,,,555-0168,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Dallas,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Allow,Do Not Allow,Allow,someone@example.com,,,,"23,000.00",,Robert,,Entertainment Retail,Purchasing Manager,,Stotka,Employee Referral,B.,,First name Last name,6/26/2007 11:50,37,,Alan Jackson,,Phone,,Warm,,Mr.,Yes,,,TX,Open,New,3456 John Street,,,50 mountain bikes,,,,,,95626,1,-1,12,21,42,45
Robert Brown,Best o' Bikes,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Bothell,U.S.,First name Last name,6/26/2007 11:50,,Referred by one of Adventure Works employees.,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,"23,000.00",,Robert,,Entertainment Retail,Purchasing Manager,,Brown,Employee Referral,,,First name Last name,6/26/2007 11:50,10,,Jose Curry,,E-mail,,Warm,,Mr.,Yes,,,WA,Open,New,100 806th Parkway West,,,27 mountain bikes,,,,,,20937,1,1,13,21,42,45
Robert Ahlering,Fun Toys and Bikes,,Default Value,,,,,,,,555-0173,,,,,,,,,,,,,,,,,,,,,,,,,"$30,000.00 ",Norwood,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Allow,Allow,Allow,someone@example.com,,,,"32,000.00",,Robert,,Entertainment Retail,Owner,,Ahlering,Other,E.,,First name Last name,6/26/2007 11:50,2,,Alan Jackson,,Any,,Hot,,Mr.,Yes,,,MA,Qualified,Qualified,1234 8th St. SW,,,Some interest in 60 road bikes,,,,,,22308,1,-2,23,21,42,45
Richard Lum,Larger Cycle Shop,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Fargo,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"54,000.00",,Richard,,Entertainment Retail,Purchasing Assistant,,Lum,Other,,,First name Last name,6/26/2007 11:50,83,,Patricia San Juan,,Any,,Cold,,Mr.,Yes,,,ND,Disqualified,Lost,67890 Cherry Lane Road,Suite 500,,Good prospect for frames,,,,,,12830,1,-2,23,21,42,45
Richard Bready,Latest Sports Equipment,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Westminster,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"18,000.00",,Richard,,Entertainment Retail,Owner,,Bready,Other,,,First name Last name,6/26/2007 11:50,14,,Gail Erickson,,Phone,,Cold,,Mr.,Yes,,,CO,Open,New,567 West 88th Ave.,,,Good prospect for frames,,,,,,10027,1,-2,23,21,42,45
Ramona Antrim,Novelty Bikes,,Default Value,,,,,,,,555-0172,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Port Orchard,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,"66,000.00",,Ramona,,Entertainment Retail,Purchasing Assistant,,Antrim,Other,J.,,First name Last name,6/26/2007 11:50,70,,Patricia San Juan,,E-mail,,Warm,,Ms.,Yes,,,WA,Open,New,Jackson and Ninth St.,,,New store opened this year - follow up,,,,,,20971,0,8,29,21,42,45
Peggy Justice,Basic Bike Company,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$80,000.00 ",Pontiac,U.S.,First name Last name,6/26/2007 11:50,,Advertising campaign lead,,Do Not Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,"32,000.00",,Peggy,,Entertainment Retail,Owner,,Justice,Other,J.,,First name Last name,6/26/2007 11:50,14,,Gail Erickson,,Mail,,Hot,,Ms.,Yes,,,MI,Open,New,7889 North Wire Rd.,,,Mailed an interest card back for road bikes,,,,,,68587,1,-2,23,21,42,45
Paul Fulton,Blue Bicycle Company,,Default Value,,,,,,,,555-0127,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Milford,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"44,000.00",,Paul,,Entertainment Retail,Purchasing Manager,,Fulton,Other,J.,,First name Last name,6/26/2007 11:50,40,,Patricia San Juan,,Phone,,Warm,,Mr.,Yes,,,CT,Open,New,CT MALL,Suite 400,,New store opened this year - follow up,,,,,,74724,1,-1,12,21,42,45
Paul Alcorn,Major Sport Suppliers,,Default Value,,,,,,,,555-0125,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Chicago,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Do Not Allow,Allow,Allow,someone@example.com,,,,"66,000.00",,Paul,,Entertainment Retail,Purchasing Assistant,,Alcorn,Other,L.,,First name Last name,6/26/2007 11:50,52,,Gail Erickson,,E-mail,,Warm,,Mr.,Yes,,,IL,Qualified,Qualified,100 72nd Plaza Drive,Ste. 123,,Likes our mountain bikes,,,,,,80849,1,1,13,21,42,45
Patricia Doyle,Racing Bike Outlet,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Sand city,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"66,000.00",,Patricia,,Entertainment Retail,Purchasing Assistant,,Doyle,Other,,,First name Last name,6/26/2007 11:50,52,,Gail Erickson,,Mail,,Warm,,Ms.,Yes,,,CA,Qualified,Qualified,890 Red Road,,,600 of the Road 650 and Road 750,,,,,,20530,0,8,14,21,42,45
Pamela Cox,Elemental Sporting Goods,,Default Value,,,,,,,,555-0170,,,,,,,,,,,,,,,,,,,,,,,,,"$150,000.00 ",Memphis,U.S.,First name Last name,6/26/2007 11:50,,Yellow Pages,,Allow,Allow,Allow,Allow,someone@example.com,,,,"44,000.00",,Pamela,,Entertainment Retail,Purchasing Manager,,Cox,Other,R.,,First name Last name,6/26/2007 11:50,49,,Patricia San Juan,,Mail,,Warm,,Ms.,Yes,,,TN,Open,New,789 Pecan St.,,,New store opened this year - follow up,,,,,,58365,0,8,14,21,42,45
Oscar Alpuerto,Bold Bike Accessories,,Default Value,,,,,,,,555-0135,,,,,,,,,,,,,,,,,,,,,,,,,"$300,000.00 ",Topeka,U.S.,First name Last name,6/26/2007 11:50,,Entered our bike give-away marketing contest.,,Allow,Allow,Allow,Allow,someone@example.com,,,,"54,000.00",,Oscar,,Entertainment Retail,Purchasing Assistant,,Alpuerto,Other,L.,,First name Last name,6/26/2007 11:50,58,,Jose Curry,,Any,,Cold,,Mr.,Yes,,,KA,Qualified,Qualified,1234 Canyon Road,Ste. 312,,Follow-up with information regarding Mountain bikes,,,,,,20593,0,8,29,21,42,45
